"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Epic: TodoMVC","Feature: Counter Display","Story: Counter singular form","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edit ToDo Items","Story: Edit ToDo Items from the list","0","0","15","0","0"
"Epic: TodoMVC","Feature: Edge Cases and Error Handling","Story: Handle Unicode and emoji","0","0","3","0","0"
"","","","0","0","69","0","0"
"Epic: TodoMVC","Feature: Edit Todo Items","Story: Whitespace trimming on edit","0","0","3","0","0"
"Epic: TodoMVC","Feature: Filter Todo Items","Story: Filter to show only active items","0","0","3","0","0"
"Epic: Login","Feature: StorageState Tests","Story: Access the-internet.herokuapp Secure Area","0","0","12","0","0"
"Epic: TodoMVC","Feature: Filter ToDo Items","Story: Filter active and complete ToDo Items from the list","0","0","12","0","0"
"Epic: TodoMVC","Feature: ToDo Item counter","Story: Counter for active ToDo Items","0","0","12","0","0"
"Epic: TodoMVC","Feature: Clear Completed Items","Story: Clear completed button visibility","0","0","3","0","0"
"Epic: TodoMVC","Feature: User Interface and Navigation","Story: Input field focus on load","0","0","3","0","0"
"Epic: TodoMVC","Feature: Filter Todo Items","Story: Filter to show all items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Counter Display","Story: Counter plural form","0","0","3","0","0"
"Epic: TodoMVC","Feature: Complete ToDo Items","Story: Complete ToDo Items from the list","0","0","15","0","0"
"Epic: TodoMVC","Feature: Filter Todo Items","Story: Add item while on Active filter","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add ToDo Item","Story: Add ToDo Item to the list","0","0","9","0","0"
"Epic: TodoMVC","Feature: Keyboard Navigation and Accessibility","Story: Tab navigation through elements","0","0","3","0","0"
"Epic: TodoMVC","Feature: Filter Todo Items","Story: Filter to show only completed items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Keyboard Navigation and Accessibility","Story: Add item using keyboard only","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edit Todo Items","Story: Delete item via empty edit","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Empty item validation","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edge Cases and Error Handling","Story: Handle rapid additions","0","0","3","0","0"
"Epic: TodoMVC","Feature: Delete ToDo Items","Story: Delete ToDo Items from the list","0","0","9","0","0"
"Epic: TodoMVC","Feature: Edit Todo Items","Story: Edit and save via blur","0","0","3","0","0"
"Epic: TodoMVC","Feature: Clear ToDo Items","Story: Clear Completed ToDo Item from the list","0","0","9","0","0"
"Epic: TodoMVC","Feature: User Interface and Navigation","Story: Footer information display","0","0","3","0","0"
"Epic: TodoMVC","Feature: Delete Todo Items","Story: Delete a single todo item","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edit Todo Items","Story: Edit and save via Enter","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Whitespace validation","0","0","3","0","0"
"Epic: TodoMVC","Feature: Persistence and LocalStorage","Story: Data persistence after reload","0","0","3","0","0"
"Epic: TodoMVC","Feature: Persistence and LocalStorage","Story: Empty list persistence","0","0","3","0","0"
"Epic: TodoMVC","Feature: Keyboard Navigation and Accessibility","Story: Checkbox accessibility attributes","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Add multiple todo items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Add a single todo item","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edge Cases and Error Handling","Story: Handle many items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Clear Completed Items","Story: Clear all completed items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Complete Todo Items","Story: Mark all items as complete","0","0","3","0","0"
"Epic: TodoMVC","Feature: Edit Todo Items","Story: Cancel edit with Escape key","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Add item with long text","0","0","3","0","0"
"Epic: TodoMVC","Feature: Counter Display","Story: Counter correctly tracks active items","0","0","3","0","0"
"Epic: TodoMVC","Feature: Add Todo Items","Story: Add item with special characters","0","0","3","0","0"
"Epic: TodoMVC","Feature: Delete Todo Items","Story: Delete a completed todo item","0","0","3","0","0"
"Epic: TodoMVC","Feature: Complete Todo Items","Story: Unmark all items when complete","0","0","3","0","0"
"Epic: Login","Feature: Users API Tests","Story: Login in to Selenium","0","0","6","0","0"
"Epic: TodoMVC","Feature: Complete Todo Items","Story: Mark single item as complete","0","0","3","0","0"
"Epic: TodoMVC","Feature: User Interface and Navigation","Story: App loads with correct title and heading","0","0","3","0","0"
"Epic: TodoMVC","Feature: Complete Todo Items","Story: Mark completed item as incomplete","0","0","3","0","0"
